tarih,buyukluk,derinlik_km,kaynak
2023-02-18T16:14:39,4.3,7,AFAD
2023-02-18T05:26:04,4.1,15.04,AFAD
2023-02-17T19:10:37,4,7,AFAD
2023-02-17T18:28:25,4,12.75,AFAD
2023-02-17T16:33:57,4,7,AFAD
2023-02-17T15:34:37,4.6,7,AFAD
2023-02-17T14:58:55,4.5,10.11,AFAD
2023-02-17T06:06:09,4.1,7,AFAD
2023-02-17T00:49:18,4,6.6,AFAD
2023-02-17T00:35:56,4.8,11.58,AFAD
2023-02-17T00:11:38,4,12.34,AFAD
2023-02-16T23:53:23,4,10.02,AFAD
2023-02-16T19:47:50,5.1,9.26,AFAD
2023-02-16T16:38:31,4,11.9,AFAD
2023-02-16T14:45:41,4.7,7,AFAD
2023-02-16T11:16:23,4.7,10.31,AFAD
2023-02-16T08:21:51,4,7,AFAD
2023-02-16T05:18:55,4.4,7.03,AFAD
2023-02-15T22:25:57,4.5,10,AFAD
2023-02-15T18:49:03,4,14.31,AFAD
2023-02-15T15:12:12,4,11.95,AFAD
2023-02-15T12:22:51,4,7.89,AFAD
2023-02-15T10:14:20,4,11.42,AFAD
2023-02-15T07:36:28,4.7,15.8,AFAD
2023-02-15T06:25:29,4.6,12.3,AFAD
2023-02-15T00:06:03,4.2,6.51,AFAD
2023-02-14T23:14:01,4.6,12.48,AFAD
2023-02-14T15:50:37,4.1,7.01,AFAD
2023-02-14T13:13:04,4.1,12,AFAD
2023-02-14T11:54:11,4.1,7,AFAD
2023-02-14T11:07:45,4.1,7.1,AFAD
2023-02-13T19:20:26,4.8,10.52,AFAD
2023-02-13T15:21:21,4.2,13.69,AFAD
2023-02-13T15:15:03,4.2,8.56,AFAD
2023-02-13T14:28:15,4.5,7.35,AFAD
2023-02-13T11:59:17,4.6,6.96,AFAD
2023-02-12T22:52:59,4.6,7,AFAD
2023-02-12T19:02:29,4.1,9.23,AFAD
2023-02-12T18:33:14,4.6,8.14,AFAD
2023-02-12T17:28:16,4,7,AFAD
2023-02-12T16:29:48,4.9,7,AFAD
2023-02-12T15:46:30,4.1,26.3,AFAD
2023-02-12T14:30:03,4.2,14.41,AFAD
2023-02-12T13:29:12,4.4,7.18,AFAD
2023-02-12T12:30:39,4,7.02,AFAD
2023-02-12T12:25:24,4,10.46,AFAD
2023-02-12T10:00:23,4,7.76,AFAD
2023-02-12T08:07:02,4.5,7.52,AFAD
2023-02-12T04:52:57,4.2,11.47,AFAD
2023-02-12T04:29:13,4.1,7,AFAD
2023-02-12T04:22:33,4,7,AFAD
2023-02-12T03:53:29,4.1,8.17,AFAD
2023-02-12T02:27:15,4,15.28,AFAD
2023-02-11T23:30:55,4.2,5.6,AFAD
2023-02-11T22:29:14,4.6,5.13,AFAD
2023-02-11T20:39:03,4.3,12.75,AFAD
2023-02-11T17:50:15,4.4,10.76,AFAD
2023-02-11T17:20:00,4.3,7,AFAD
2023-02-11T15:33:41,4.5,4.96,AFAD
2023-02-11T14:38:02,4.4,7.01,AFAD
2023-02-11T14:11:25,4.1,7.02,AFAD
2023-02-11T13:58:18,4,5.97,AFAD
2023-02-11T13:09:58,4.6,7,AFAD
2023-02-11T12:54:58,4.3,6.96,AFAD
2023-02-11T11:51:41,4.2,7,AFAD
2023-02-11T11:05:16,4.2,6.96,AFAD
2023-02-11T09:03:34,4.2,12.44,AFAD
2023-02-11T07:55:42,4.5,7.01,AFAD
2023-02-11T06:28:12,4.2,6.98,AFAD
2023-02-11T06:06:22,4.1,7.51,AFAD
2023-02-11T04:47:03,4.2,7,AFAD
2023-02-11T03:38:24,4.1,7,AFAD
2023-02-11T03:11:10,4,9.93,AFAD
2023-02-11T00:24:41,4.2,9.72,AFAD
2023-02-10T21:20:38,4,12.27,AFAD
2023-02-10T18:26:18,4,7,AFAD
2023-02-10T17:31:24,4.2,12.49,AFAD
2023-02-10T17:00:50,4.8,7.07,AFAD
2023-02-10T15:29:21,4,7.01,AFAD
2023-02-10T11:29:28,4,7.22,AFAD
2023-02-10T10:01:21,4.2,7.03,AFAD
2023-02-10T09:02:49,4,10.19,AFAD
2023-02-10T08:17:29,4.2,9.46,AFAD
2023-02-10T07:04:42,4,10.75,AFAD
2023-02-10T06:36:45,4.1,11.64,AFAD
2023-02-10T04:53:50,4.1,7,AFAD
2023-02-10T04:50:23,5,10.45,AFAD
2023-02-10T02:03:40,4.5,7.02,AFAD
2023-02-10T01:50:59,4.6,7,AFAD
2023-02-09T22:06:39,4.1,7,AFAD
2023-02-09T21:46:30,4.3,8.98,AFAD
2023-02-09T18:49:36,4,15.49,AFAD
2023-02-09T17:51:49,4.1,7.06,AFAD
2023-02-09T13:27:51,4.1,7,AFAD
2023-02-09T11:48:29,4,7.06,AFAD
2023-02-09T10:42:24,4.2,5.21,AFAD
2023-02-09T09:46:53,4.5,7,AFAD
2023-02-09T07:42:07,4.1,7.92,AFAD
2023-02-09T07:18:17,4.9,10.95,AFAD
2023-02-09T06:49:48,4.2,7.51,AFAD
2023-02-09T06:45:11,4.2,7,AFAD
2023-02-09T06:37:04,4,6.99,AFAD
2023-02-09T05:37:31,4.1,7,AFAD
2023-02-09T05:24:25,4.2,7.01,AFAD
2023-02-09T05:02:55,4,6.71,AFAD
2023-02-09T04:34:43,4.1,7.99,AFAD
2023-02-09T04:18:20,4.2,7,AFAD
2023-02-09T03:26:03,4.1,7.05,AFAD
2023-02-09T01:44:18,4.5,7.74,AFAD
2023-02-09T01:38:13,4.4,7.04,AFAD
2023-02-09T00:32:14,4.1,0.21,AFAD
2023-02-08T22:36:48,4.1,13.78,AFAD
2023-02-08T20:12:04,4,7,AFAD
2023-02-08T19:48:11,4.1,10.11,AFAD
2023-02-08T19:05:18,4,7.06,AFAD
2023-02-08T17:57:20,4.6,7,AFAD
2023-02-08T16:55:39,4.2,17.56,AFAD
2023-02-08T15:49:57,4.2,8.55,AFAD
2023-02-08T15:04:41,4.2,7,AFAD
2023-02-08T14:55:49,4.3,7,AFAD
