il,sismik_tehlike,maruziyet,kirilganlik,sigortasizlik_acigi,bilesik_risk_skoru,mc_ortalama,ci_alt_95,ci_ust_95
Edirne,0.16293173610576886,1.1538461538461537,0.16293173610576886,5,0.9439128878173074,0.9700501308842555,0.7123496181497122,1.2703237052557173
Bolu,0.22895483600156258,1.0096153846153855,0.22895483600156258,5,0.9402575169855532,0.9631771745911987,0.6880902338192296,1.260630465657987
Bitlis,0.20657286258735172,1.0096153846153855,0.20657286258735172,5,0.9268283329370266,0.9500404448411605,0.6829547515227763,1.2438597379813987
Yalova,0.22409599689787824,0.9615384615384613,0.22409599689787824,5,0.9229191366002654,0.9419924697452908,0.6731995071871868,1.2430318618245368
Amasya,0.16925723208190663,1.0096153846153855,0.16925723208190663,5,0.9044389546337597,0.9318021860753934,0.6695687004569669,1.2332471418165867
Aksaray,0.06044070861209818,1.201923076923078,0.06044070861209818,5,0.8968413482441824,0.9446057922710767,0.7011248272878636,1.2259289782355904
Siirt,0.11904347951330065,1.0576923076923075,0.11904347951330065,5,0.8887337800156726,0.92408175402051,0.666776409907463,1.21083232409071
Yozgat,0.06086999436661475,1.1538461538461537,0.06086999436661475,5,0.882675842773815,0.9304128195258208,0.6900573321311598,1.213444890665817
Kastamonu,0.10366043024647444,1.0576923076923075,0.10366043024647444,5,0.8795039504555768,0.9196621448193449,0.6683696549985522,1.2056059582358376
Giresun,0.028414628513241214,1.1538461538461537,0.028414628513241214,5,0.8632026232617909,0.9159528445509282,0.6755446297982021,1.188097963691651
Rize,0.024530614543805344,1.0096153846153855,0.024530614543805344,5,0.8176029841108989,0.8760612829449682,0.637436635782715,1.1604890331523658
Iğdır,0.14359086077344402,0.7692307692307688,0.14359086077344402,5,0.8169237472332971,0.8502148431985884,0.5958542356490912,1.1439323910953627
Artvin,0.16709351764343797,0.7211538461538468,0.16709351764343797,5,0.8166022644322168,0.8420951727601876,0.5853261698369138,1.1367051123419187
Tunceli,0.22738605749226662,0.5769230769230763,0.22738605749226662,5,0.8095085575722828,0.8310995371952427,0.5668058675047227,1.127299610929642
Bilecik,0.05839649073344774,0.817307692307693,0.05839649073344774,5,0.7802302021323766,0.8279488090452796,0.5881051580076079,1.1019110395115053
Karaman,0,0.8653846153846151,0,5,0.7596153846153846,0.8253901335287126,0.5894356378634344,1.095053042526029
Sinop,0.02487131752358042,0.7692307692307688,0.02487131752358042,5,0.7456920212833789,0.8029028033099886,0.5678468449341373,1.0765528932599158
Bartın,0.02369021386036016,0.7692307692307688,0.02369021386036016,5,0.7449833590854468,0.8040582822749583,0.5640819609713039,1.0741304775090876
Sakarya,0.3788241666508869,0,0.3788241666508869,5,0.7272944999905322,0.7729844503886557,0.5304450591220133,1.0542012975762312
Kilis,0.031412814735261835,0.6730769230769227,0.031412814735261835,5,0.7207707657642339,0.778588258053157,0.5401475159310772,1.0573975751721065
Bayburt,0.039907675697653716,0.5288461538461543,0.039907675697653716,5,0.6825984515724385,0.7420746905595663,0.5079447428401684,1.0197499752438517
Mugla,10,NA,10,5,NA,0,0,0
K. Maras,2.1423212382642656,NA,2.1423212382642656,5,NA,0,0,0
Izmir,2.008670175891691,NA,2.008670175891691,5,NA,0,0,0
Afyon,0.6150593777230119,NA,0.6150593777230119,5,NA,0,0,0
Adiyaman,0.8338744276502918,NA,0.8338744276502918,5,NA,0,0,0
Çankiri,0.2376573635421031,NA,0.2376573635421031,5,NA,0,0,0
Aydin,0.45768062225700784,NA,0.45768062225700784,5,NA,0,0,0
Diyarbakir,0.18129702140620585,NA,0.18129702140620585,5,NA,0,0,0
Tekirdag,0.18857909930550362,NA,0.18857909930550362,5,NA,0,0,0
Balikesir,0.428240161407591,NA,0.428240161407591,5,NA,0,0,0
Sirnak,0.24423741398570645,NA,0.24423741398570645,5,NA,0,0,0
Sanliurfa,0.15672337069653416,NA,0.15672337069653416,5,NA,0,0,0
Agri,0.20289998122204922,NA,0.20289998122204922,5,NA,0,0,0
Mus,0.14204333105547565,NA,0.14204333105547565,5,NA,0,0,0
Kirsehir,0.034501855085222535,NA,0.034501855085222535,5,NA,0,0,0
Istanbul,0.12036468437153752,NA,0.12036468437153752,5,NA,0,0,0
Kinkkale,0.11405978645136655,NA,0.11405978645136655,5,NA,0,0,0
Zinguldak,0.03556939108851775,NA,0.03556939108851775,5,NA,0,0,0
Nigde,0.013355556807182922,NA,0.013355556807182922,5,NA,0,0,0
Eskisehir,0.06793617416714981,NA,0.06793617416714981,5,NA,0,0,0
Kirklareli,0.018057257928078937,NA,0.018057257928078937,5,NA,0,0,0
Gümüshane,0.018057257928078937,NA,0.018057257928078937,5,NA,0,0,0
